개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
4050000,4.05E+17,2020-01-14,,영업/정상,,,,,0,,17163,포포즈 반려동물장례식장 용인점,I,L00,2026-01-30 21:32,경기도 용인시 처인구 양지읍 중부대로2670번길 16-19,정상,0,1,,,,경기도 용인시 처인구 양지읍 추계리 109-1 ,2026-01-29 17:47
4070000,4.07E+17,2017-02-16,,영업/정상,,,,,0,,17383,주식회사 아리아펫,I,L00,2025-12-15 16:15,경기도 이천시 마장면 이장로 329-2,정상,0,1,316352266,234562.7924,419797.3018,경기도 이천시 마장면 장암리 525-1 ,2017-03-02 18:17
4090000,4.09E+17,2013-07-12,,영업/정상,,,,,0,,10008,엔젤스톤,I,L00,2025-12-15 16:15,경기도 김포시 하성면 하성로 720,정상,0,1,319810271,167305.1857,470504.5474,경기도 김포시 하성면 양택리 251-6 ,2021-10-29 16:09
4090000,4.09E+17,2008-11-07,,영업/정상,,2023-12-18,2024-02-15,,0,,10010,펫포레스트 반려동물장례식장 김포점,I,L00,2025-12-15 16:15,경기도 김포시 통진읍 고정로 308,정상,0,1,,,,경기도 김포시 통진읍 귀전리 167 ,2024-04-09 10:22
4090000,4.09E+17,2017-05-02,,영업/정상,,,,,0,,10003,포포즈 반려동물장례식장 김포점,I,L00,2025-12-15 16:15,경기도 김포시 월곶면 애기봉로 262,정상,0,1,15882888,162519.9852,469834.5798,경기도 김포시 월곶면 개곡리 810-1 ,2024-02-07 14:41
4170000,4.17E+17,2023-09-07,,영업/정상,,,,,0,,12540,ROYHILLS,I,L00,2025-12-15 16:15,경기도 양평군 양동면 양동금곡4길 10,정상,0,1,18552004,,,경기도 양평군 양동면 삼산리 18 ,2023-09-07 13:29
4191000,4.19E+17,2022-10-12,,영업/정상,,,,,0,,26305,주식회사 패투헤븐,I,L00,2025-12-15 16:15,"강원특별자치도 원주시 소초면 현촌길 90-3, 나동",정상,0,1,337454211,288102.589,436424.2709,강원특별자치도 원주시 소초면 평장리 1048-1 ,2022-10-19 9:32
4201000,4.2E+17,2018-12-20,,영업/정상,,,,,0,,25434,강릉펫사랑(장례식장),I,0,2025-12-15 16:15,강원특별자치도 강릉시 사천면 구라미길 376,정상,0,1,,,,강원특별자치도 강릉시 사천면 석교리 779 ,2020-04-29 15:37
4400000,4.4E+17,2012-12-13,,영업/정상,,,,,0,,,굿바이펫,I,0,2025-12-15 16:15,충청북도 제천시 봉양읍 장평로 95,정상,0,1,436421537,,,충청북도 제천시 봉양읍 장평리 37-1 ,2019-12-10 15:49
4430000,4.43E+17,2020-11-09,,영업/정상,,,,,0,,29064,대전 이별공간,I,0,2025-12-15 16:15,"충청북도 옥천군 이원면 이원로 47, 음식점",정상,0,1,,256461.7685,298218.4337,충청북도 옥천군 이원면 평계리 992-2 음식점 ,2024-08-22 10:46
4440000,4.44E+17,2020-07-15,,영업/정상,,,,,0,,29120,스마일 어게인,I,0,2026-01-07 17:26,충청북도 영동군 추풍령면 작동1길 81,정상,0,1,15449262,,,충청북도 영동군 추풍령면 작점리 148 ,2021-01-19 9:04
4490000,5.65E+17,2014-06-23,,영업/정상,,,,,0,,31212,21그램 반려동물 장례식장 천안아산점,I,L00,2026-01-30 22:32,충청남도 천안시 동남구 광풍로 1668 (구룡동),정상,0,1,,,,충청남도 천안시 동남구 구룡동 481 ,2026-01-29 9:52
4500000,4.5E+17,2014-09-24,,영업/정상,,,,,0,,32533,(주)좋은친구들,I,L00,2025-12-15 16:15,충청남도 공주시 우성면 보흥2길 36-61,정상,0,1,,,,,2017-11-27 17:14
4540000,4.54E+17,2020-07-24,,영업/정상,,,,,0,,32911,리멤버파크,I,0,2025-12-15 16:15,충청남도 논산시 연산면 계백로 2172-13,정상,0,1,417351700,,,충청남도 논산시 연산면 청동리 16 ,2020-10-22 13:38
4610000,4.61E+17,2013-10-28,,영업/정상,,,,,0,,,예산 위드엔젤,I,0,2025-12-15 16:15,,정상,0,1,413328787,192522.9006,355233.0701,충청남도 예산군 대술면 화산리 464-1 ,2017-05-24 9:09
4641000,4.641E+17,2022-07-05,,영업/정상,,,,,0,,54878,전주 반려동물장례식장 아리움,I,L00,2026-02-03 22:32,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-44(효자동3가),정상,0,1,632237942,207690.3184,258325.1287,전북특별자치도 전주시 완산구 효자동3가 1039-1 ,2026-02-02 14:01
4671000,4.671E+17,2021-11-25,,영업/정상,,,,,0,,54031,서래안 펫타운,I,0,2025-12-15 16:15,"전북특별자치도 군산시 서래안1길 11, 2층 (경암동)",정상,0,1,,175138.6142,275762.7276,전북특별자치도 군산시 경암동 570-39 ,2022-01-11 10:55
4701000,4.701E+17,2014-09-24,,영업/정상,,,,,0,,55706,펫바라기,I,0,2025-12-15 16:15,전북특별자치도 남원시 보절면 파동신동길 161-29,정상,0,1,,,,전북특별자치도 남원시 보절면 신파리 403 ,2022-12-22 15:30
4721000,4.721E+17,2020-04-20,,영업/정상,,,,,0,,55346,전주 하늘,I,0,2025-12-15 16:15,"전북특별자치도 완주군 소양면 전진로 1630, 현대오일뱅크",정상,0,1,,229122.3066,261830.1054,전북특별자치도 완주군 소양면 신원리 1-3 현대오일뱅크 ,2020-04-20 17:45
4721000,4.721E+17,2020-03-05,,영업/정상,,,,,0,,55367,해피펫,I,0,2025-12-15 16:15,전북특별자치도 완주군 이서면 팥죽이로 205-7,정상,0,1,632422114,,,전북특별자치도 완주군 이서면 은교리 508 ,2023-07-19 11:24
4761000,4.761E+17,2021-07-20,,영업/정상,,,,,0,,55955,오수 펫 추모공원,I,L00,2025-12-15 16:15,"전북특별자치도 임실군 오수면 춘향로 1554-95, 오수펫추모공원",정상,0,1,636430486,231550.8221,226602.0941,전북특별자치도 임실군 오수면 금암리 864-1 오수펫추모공원 ,2022-07-14 16:11
4800000,4.8E+17,2022-09-27,,영업/정상,,,,,0,,58603,해늘마루,I,L00,2025-12-15 16:15,전라남도 목포시 고하대로 1140-17(대양동),정상,0,1,612734000,145297.2264,149233.782,전라남도 목포시 대양동 756-10 ,2022-10-19 17:09
4810000,4.81E+17,2021-07-21,,영업/정상,,,,,0,,59604,전남반려동물장례식장푸른솔,I,L00,2025-12-15 16:15,전라남도 여수시 율촌면 조화길 31,정상,0,1,15667112,253860.2686,152032.1851,전라남도 여수시 율촌면 취적리 964-3 ,2023-08-14 17:34
4820000,4.82E+17,2024-01-07,,영업/정상,,,,,0,,58031,순천 반려동물장례식장 하늘별,I,0,2025-12-15 16:15,"전라남도 순천시 별량면 송산길 259, 펫하늘별",정상,0,1,,234371.0057,154150.3456,전라남도 순천시 별량면 대룡리 1189-1 펫하늘별 ,2024-01-16 11:51
4820000,4.82E+17,2025-07-18,,영업/정상,,,,,0,,57906,전남순천1004반려동물장례식장,I,0,2025-12-15 16:15,"전라남도 순천시 서면 순천로 260-1, 동물화장시설",정상,0,1,,,,전라남도 순천시 서면 동산리 543-7 동물화장시설 ,2025-11-18 13:13
4830000,4.83E+17,2025-03-25,,영업/정상,,,,,0,,58319,별다만 광주전남,I,0,2026-02-05 22:33,전라남도 나주시 다도면 다도로 857,정상,0,1,613371230,,,"전라남도 나주시 다도면 신동리 76 , 467-46 ",2026-02-04 15:22
4830000,4.83E+17,2025-06-30,,영업/정상,,,,,0,,58279,주식회사 퍼스트펫,I,L00,2026-01-15 22:33,전라남도 나주시 다시면 영산로 4952,정상,0,1,613370991,170568.5369,169009.0507,전라남도 나주시 다시면 신광리 911-4 ,2026-01-14 11:37
